ano,Região,estado,municipio,populacao,area,densidade
2024-01-01,Norte,Pará,Altamira,136982,159533.306,0.8586420192407972
2024-01-01,Norte,Amazonas,Barcelos,18626,122462.433,0.1520956226633191
2024-01-01,Norte,Amazonas,São Gabriel da Cachoeira,56406,109192.593,0.5165735005487049
2024-01-01,Norte,Pará,Oriximiná,72460,107613.629,0.6733347873622959
2024-01-01,Norte,Amazonas,Tapauá,20501,84946.035,0.24134145872729668
2024-01-01,Norte,Pará,São Félix do Xingu,65957,84212.901,0.7832172887619677
2024-01-01,Norte,Amazonas,Atalaia do Norte,15892,76507.617,0.20771787990730387
2024-01-01,Norte,Pará,Almeirim,36334,72956.173,0.4980250266142661
2024-01-01,Norte,Amazonas,Jutaí,27656,69459.501,0.39816007316263324
2024-01-01,Norte,Amazonas,Lábrea,48927,68262.68,0.7167459584065554
2024-01-01,Centro-Oeste,Mato Grosso do Sul,Corumbá,99107,64432.435,1.5381538816591365
2024-01-01,Norte,Amazonas,Santa Isabel do Rio Negro,14176,62798.845,0.22573663576137426
2024-01-01,Norte,Pará,Itaituba,133684,62042.472,2.1547174973943655
2024-01-01,Norte,Amazonas,Coari,73820,57970.784,1.2734000630386506
2024-01-01,Norte,Amazonas,Japurá,9397,55827.202,0.16832296198544933
2024-01-01,Norte,Amazonas,Apuí,21735,54240.544,0.4007150075780951
2024-01-01,Norte,Pará,Jacareacanga,26006,53304.563,0.4878756814871552
2024-01-01,Norte,Amazonas,Manicoré,57758,48315.038,1.195445608466664
2024-01-01,Norte,Roraima,Caracaraí,22443,47379.908,0.4736817977780792
2024-01-01,Norte,Amazonas,Borba,34879,44236.184,0.7884721702034696
2024-01-01,Norte,Amazonas,Pauini,20232,41624.664,0.4860579775490801
2024-01-01,Norte,Amazonas,Novo Aripuanã,24987,41179.656,0.6067802023406897
2024-01-01,Norte,Amazonas,Maués,65714,39991.067,1.6432169714301446
2024-01-01,Norte,Pará,Novo Progresso,36518,38162.003,0.9569204216036564
2024-01-01,Norte,Amazonas,Novo Airão,16467,37776.664,0.4359040279469887
2024-01-01,Norte,Rondônia,Porto Velho,514873,34091.146,15.102836378689059
2024-01-01,Norte,Amazonas,Canutama,17885,33642.732,0.5316155655848639
